DATE&TIME,LAFMAX,LAFMIN,LAE,LAEQ
01/01/2023 12:00:00 AM,97.4,60.7,67.1,94.8
01/01/2023 12:00:01 AM,70.7,93.2,10.5,40.5
01/01/2023 12:00:02 AM,59.7,49.1,14.5,54.6
01/01/2023 12:00:03 AM,18.7,39.3,24.0,69.9
01/01/2023 12:00:04 AM,85.3,18.4,65.9,25.5
01/01/2023 12:00:05 AM,70.7,84.2,55.5,1.3
01/01/2023 12:00:06 AM,32.5,62.0,81.0,81.1
01/01/2023 12:00:07 AM,57.6,54.8,75.8,35.6
01/01/2023 12:00:08 AM,88.0,7.2,26.0,16.2
01/01/2023 12:00:09 AM,89.4,22.5,54.0,29.5
01/01/2023 12:00:10 AM,60.0,61.4,51.9,11.5
01/01/2023 12:00:11 AM,66.6,23.5,42.6,99.0
01/01/2023 12:00:12 AM,90.3,46.3,68.6,92.1
01/01/2023 12:00:13 AM,63.5,39.8,46.4,15.6
01/01/2023 12:00:14 AM,9.5,26.9,94.7,70.9
01/01/2023 12:00:15 AM,22.4,61.7,96.8,34.7
01/01/2023 12:00:16 AM,48.4,41.3,76.6,56.5
01/01/2023 12:00:17 AM,82.8,21.1,11.3,61.4
01/01/2023 12:00:18 AM,69.3,41.0,91.1,62.8
01/01/2023 12:00:19 AM,4.8,90.3,57.5,45.1
01/01/2023 12:00:20 AM,30.5,46.4,66.2,42.2
01/01/2023 12:00:21 AM,4.8,52.5,85.9,15.8
01/01/2023 12:00:22 AM,80.1,20.2,81.3,17.1
01/01/2023 12:00:23 AM,2.6,48.1,22.3,76.7
01/01/2023 12:00:24 AM,48.5,22.4,58.8,56.6
01/01/2023 12:00:25 AM,89.3,62.1,30.8,67.1
01/01/2023 12:00:26 AM,54.8,73.1,81.3,46.9
01/01/2023 12:00:27 AM,62.5,29.2,82.5,58.6
01/01/2023 12:00:28 AM,25.7,6.3,14.4,51.2
01/01/2023 12:00:29 AM,88.1,95.3,12.5,77.4
01/01/2023 12:00:30 AM,75.8,62.3,16.2,10.5
01/01/2023 12:00:31 AM,53.8,81.4,17.1,5.3
01/01/2023 12:00:32 AM,14.3,36.5,33.1,53.6
01/01/2023 12:00:33 AM,2.2,5.1,19.3,6.7
01/01/2023 12:00:34 AM,92.9,95.2,44.1,82.8
01/01/2023 12:00:35 AM,36.7,47.8,7.3,88.8
01/01/2023 12:00:36 AM,4.4,68.4,56.7,30.5
01/01/2023 12:00:37 AM,56.9,55.6,85.1,8.2
01/01/2023 12:00:38 AM,51.0,46.9,99.4,56.5
01/01/2023 12:00:39 AM,100.0,40.7,99.6,41.6
01/01/2023 12:00:40 AM,88.9,37.6,85.5,60.7
01/01/2023 12:00:41 AM,8.1,84.2,55.6,42.3
01/01/2023 12:00:42 AM,63.9,95.1,69.1,80.8
01/01/2023 12:00:43 AM,68.8,95.9,49.0,57.6
01/01/2023 12:00:44 AM,43.9,38.3,18.0,94.6
01/01/2023 12:00:45 AM,41.2,14.6,61.7,14.5
01/01/2023 12:00:46 AM,50.8,25.7,15.8,33.5
01/01/2023 12:00:47 AM,69.3,20.9,90.0,35.9
01/01/2023 12:00:48 AM,59.2,82.7,90.7,85.3
01/01/2023 12:00:49 AM,53.5,42.7,95.3,59.5
01/01/2023 12:00:50 AM,79.3,11.1,96.1,66.4
01/01/2023 12:00:51 AM,85.5,69.5,59.2,99.0
01/01/2023 12:00:52 AM,76.0,11.5,20.7,82.1
01/01/2023 12:00:53 AM,16.4,27.5,94.6,15.6
01/01/2023 12:00:54 AM,98.7,13.2,50.9,66.4
01/01/2023 12:00:55 AM,81.8,12.0,33.8,85.1
01/01/2023 12:00:56 AM,35.0,66.7,40.3,4.0
01/01/2023 12:00:57 AM,48.3,2.7,55.6,51.4
01/01/2023 12:00:58 AM,12.7,58.3,93.3,86.9
01/01/2023 12:00:59 AM,29.8,97.6,25.0,38.1
01/01/2023 12:01:00 AM,66.3,5.3,10.8,53.5
01/01/2023 12:01:01 AM,7.3,39.3,65.2,47.7
01/01/2023 12:01:02 AM,14.0,26.5,53.5,91.3
01/01/2023 12:01:03 AM,64.4,54.5,63.0,27.6
01/01/2023 12:01:04 AM,64.8,91.5,88.9,27.3
01/01/2023 12:01:05 AM,35.6,65.7,95.1,5.3
01/01/2023 12:01:06 AM,5.5,77.7,68.2,72.4
01/01/2023 12:01:07 AM,44.7,81.7,52.0,45.9
01/01/2023 12:01:08 AM,93.7,93.6,19.3,30.9
01/01/2023 12:01:09 AM,25.6,91.8,65.7,52.7
01/01/2023 12:01:10 AM,15.0,52.0,70.4,62.5
01/01/2023 12:01:11 AM,10.4,96.0,56.8,87.4
01/01/2023 12:01:12 AM,30.7,12.9,76.6,90.2
01/01/2023 12:01:13 AM,29.5,96.8,59.5,16.9
01/01/2023 12:01:14 AM,27.4,33.5,38.8,96.8
01/01/2023 12:01:15 AM,65.5,87.9,19.3,43.0
01/01/2023 12:01:16 AM,32.0,9.7,54.9,38.2
01/01/2023 12:01:17 AM,18.0,48.8,73.0,43.7
01/01/2023 12:01:18 AM,71.9,38.9,7.5,96.6
01/01/2023 12:01:19 AM,73.1,74.5,72.0,89.4
01/01/2023 12:01:20 AM,98.9,13.4,35.8,37.9
01/01/2023 12:01:21 AM,50.8,91.5,83.3,73.8
01/01/2023 12:01:22 AM,85.3,52.4,4.4,38.5
01/01/2023 12:01:23 AM,93.2,6.2,94.3,51.9
01/01/2023 12:01:24 AM,62.7,66.0,81.2,34.7
01/01/2023 12:01:25 AM,92.9,94.5,55.2,82.5
01/01/2023 12:01:26 AM,94.5,34.9,9.7,63.2
01/01/2023 12:01:27 AM,68.6,43.1,11.8,30.2
01/01/2023 12:01:28 AM,75.5,53.0,84.1,17.2
01/01/2023 12:01:29 AM,91.8,35.4,37.2,42.8
01/01/2023 12:01:30 AM,63.0,14.6,59.7,78.3
01/01/2023 12:01:31 AM,59.1,28.0,73.9,35.9
01/01/2023 12:01:32 AM,56.0,56.9,71.1,92.8
01/01/2023 12:01:33 AM,9.0,33.4,43.2,93.2
01/01/2023 12:01:34 AM,81.4,47.4,32.6,61.2
01/01/2023 12:01:35 AM,3.8,39.2,79.2,20.6
01/01/2023 12:01:36 AM,86.2,76.5,77.9,77.3
01/01/2023 12:01:37 AM,17.2,98.0,69.4,27.2
01/01/2023 12:01:38 AM,83.5,71.5,27.4,86.4
01/01/2023 12:01:39 AM,6.1,85.4,90.4,44.4
01/01/2023 12:01:40 AM,88.2,21.8,7.4,95.2
01/01/2023 12:01:41 AM,78.2,41.3,41.6,2.6
01/01/2023 12:01:42 AM,42.7,42.8,89.6,17.4
01/01/2023 12:01:43 AM,27.7,17.6,67.7,25.5
01/01/2023 12:01:44 AM,4.5,57.3,41.3,22.8
01/01/2023 12:01:45 AM,36.9,69.2,21.9,3.8
01/01/2023 12:01:46 AM,39.8,32.3,55.2,69.9
01/01/2023 12:01:47 AM,5.0,89.3,22.7,68.0
01/01/2023 12:01:48 AM,50.8,67.9,89.5,81.5
01/01/2023 12:01:49 AM,75.0,55.0,28.8,38.2
01/01/2023 12:01:50 AM,91.7,86.8,10.8,4.1
01/01/2023 12:01:51 AM,24.3,4.1,93.5,27.8
01/01/2023 12:01:52 AM,46.6,74.6,52.0,14.4
01/01/2023 12:01:53 AM,86.1,60.4,27.9,82.7
01/01/2023 12:01:54 AM,23.2,50.3,6.8,9.9
01/01/2023 12:01:55 AM,29.8,24.7,3.0,72.6
01/01/2023 12:01:56 AM,22.9,48.5,83.7,93.4
01/01/2023 12:01:57 AM,49.0,47.2,92.9,63.5
01/01/2023 12:01:58 AM,25.3,81.1,36.9,88.7
01/01/2023 12:01:59 AM,82.8,39.4,73.1,74.0
01/01/2023 12:02:00 AM,15.5,26.1,46.1,9.5
01/01/2023 12:02:01 AM,62.5,13.1,74.2,79.5
01/01/2023 12:02:02 AM,23.7,55.1,33.0,83.6
01/01/2023 12:02:03 AM,50.8,82.6,2.1,36.3
01/01/2023 12:02:04 AM,20.6,63.2,74.9,2.1
01/01/2023 12:02:05 AM,1.9,92.3,11.6,49.4
01/01/2023 12:02:06 AM,67.1,62.5,94.7,65.0
01/01/2023 12:02:07 AM,10.6,91.6,59.1,89.4
01/01/2023 12:02:08 AM,39.0,10.7,18.5,71.1
01/01/2023 12:02:09 AM,33.1,61.5,10.8,71.2
01/01/2023 12:02:10 AM,20.6,50.2,42.6,61.2
01/01/2023 12:02:11 AM,33.4,61.6,70.2,3.8
01/01/2023 12:02:12 AM,59.0,91.8,22.8,33.5
01/01/2023 12:02:13 AM,93.1,91.3,69.2,46.2
01/01/2023 12:02:14 AM,61.4,16.0,51.6,3.3
01/01/2023 12:02:15 AM,93.7,61.5,80.4,48.6
01/01/2023 12:02:16 AM,75.3,75.6,48.7,93.8
01/01/2023 12:02:17 AM,65.7,83.8,90.2,11.3
01/01/2023 12:02:18 AM,29.3,33.9,78.0,67.5
01/01/2023 12:02:19 AM,2.0,32.7,43.0,25.6
01/01/2023 12:02:20 AM,92.8,87.2,99.3,78.5
01/01/2023 12:02:21 AM,93.0,85.3,42.0,72.5
01/01/2023 12:02:22 AM,20.7,17.1,58.3,90.8
01/01/2023 12:02:23 AM,32.0,9.1,89.1,19.9
01/01/2023 12:02:24 AM,44.5,54.1,16.8,39.1
01/01/2023 12:02:25 AM,21.8,10.8,95.9,74.4
01/01/2023 12:02:26 AM,57.7,70.2,57.9,53.3
01/01/2023 12:02:27 AM,23.5,21.3,39.3,16.6
01/01/2023 12:02:28 AM,36.8,87.5,69.0,6.6
01/01/2023 12:02:29 AM,97.5,64.0,40.4,5.0
01/01/2023 12:02:30 AM,1.6,58.9,44.9,25.3
01/01/2023 12:02:31 AM,66.3,12.9,53.0,60.9
01/01/2023 12:02:32 AM,70.9,97.2,61.7,45.9
01/01/2023 12:02:33 AM,49.2,36.5,14.9,24.8
01/01/2023 12:02:34 AM,68.9,23.0,50.7,17.4
01/01/2023 12:02:35 AM,53.3,83.2,81.5,24.3
01/01/2023 12:02:36 AM,57.1,68.9,60.8,98.1
01/01/2023 12:02:37 AM,3.6,81.0,93.7,36.0
01/01/2023 12:02:38 AM,49.0,82.1,88.2,48.0
01/01/2023 12:02:39 AM,1.1,3.4,80.3,93.9
01/01/2023 12:02:40 AM,64.8,43.0,2.0,26.2
01/01/2023 12:02:41 AM,68.7,95.9,7.9,49.8
01/01/2023 12:02:42 AM,10.4,51.8,20.5,96.0
01/01/2023 12:02:43 AM,97.9,15.9,13.3,82.8
01/01/2023 12:02:44 AM,48.6,71.1,11.1,86.3
01/01/2023 12:02:45 AM,22.2,16.3,98.9,15.6
01/01/2023 12:02:46 AM,99.3,84.6,96.4,7.3
01/01/2023 12:02:47 AM,80.0,3.1,43.7,17.6
01/01/2023 12:02:48 AM,29.7,82.3,23.9,68.7
01/01/2023 12:02:49 AM,79.0,5.3,15.7,49.6
01/01/2023 12:02:50 AM,33.5,7.7,72.7,16.9
01/01/2023 12:02:51 AM,54.6,52.4,1.5,41.4
01/01/2023 12:02:52 AM,3.6,34.8,57.5,72.5
01/01/2023 12:02:53 AM,40.8,18.7,86.6,9.6
01/01/2023 12:02:54 AM,31.2,47.4,74.4,26.2
01/01/2023 12:02:55 AM,39.5,36.9,19.1,25.9
01/01/2023 12:02:56 AM,97.2,80.5,65.4,59.6
01/01/2023 12:02:57 AM,55.0,6.3,57.9,53.6
01/01/2023 12:02:58 AM,36.3,98.7,96.1,97.9
01/01/2023 12:02:59 AM,21.1,55.1,23.3,46.0
01/01/2023 12:03:00 AM,21.8,5.5,15.2,68.2
01/01/2023 12:03:01 AM,78.0,56.2,68.9,29.4
01/01/2023 12:03:02 AM,3.2,56.3,4.7,49.5
01/01/2023 12:03:03 AM,69.1,79.0,84.9,54.2
01/01/2023 12:03:04 AM,3.2,63.4,99.8,87.6
01/01/2023 12:03:05 AM,16.0,81.3,51.9,65.6
01/01/2023 12:03:06 AM,59.3,86.1,61.0,53.9
01/01/2023 12:03:07 AM,80.4,74.8,2.8,65.8
01/01/2023 12:03:08 AM,14.6,42.3,92.8,30.2
01/01/2023 12:03:09 AM,21.8,20.7,41.2,13.4
01/01/2023 12:03:10 AM,63.3,39.0,78.6,56.7
01/01/2023 12:03:11 AM,64.4,22.2,97.2,5.3
01/01/2023 12:03:12 AM,70.9,17.5,95.0,53.4
01/01/2023 12:03:13 AM,37.2,19.7,3.0,57.0
01/01/2023 12:03:14 AM,44.6,31.6,23.2,41.1
01/01/2023 12:03:15 AM,89.0,17.2,97.9,76.8
01/01/2023 12:03:16 AM,29.8,51.9,13.8,59.3
01/01/2023 12:03:17 AM,33.3,22.5,48.8,52.8
01/01/2023 12:03:18 AM,26.6,38.4,93.3,20.6
01/01/2023 12:03:19 AM,90.6,17.9,31.7,20.3
01/01/2023 12:03:20 AM,57.8,32.8,4.4,39.4
01/01/2023 12:03:21 AM,39.1,9.7,48.6,29.5
01/01/2023 12:03:22 AM,77.8,61.9,77.8,77.6
01/01/2023 12:03:23 AM,56.2,22.5,5.3,35.8
01/01/2023 12:03:24 AM,89.8,96.8,47.4,11.9
01/01/2023 12:03:25 AM,55.7,22.1,42.9,25.4
01/01/2023 12:03:26 AM,82.4,18.6,15.1,17.6
01/01/2023 12:03:27 AM,98.2,52.7,43.8,67.1
01/01/2023 12:03:28 AM,13.6,86.0,82.5,9.5
01/01/2023 12:03:29 AM,61.1,69.8,45.2,98.8
01/01/2023 12:03:30 AM,25.4,85.9,84.2,22.1
01/01/2023 12:03:31 AM,95.9,50.5,90.5,1.6
01/01/2023 12:03:32 AM,65.1,31.4,85.9,92.7
01/01/2023 12:03:33 AM,6.0,28.6,29.8,79.9
01/01/2023 12:03:34 AM,26.3,80.2,19.1,36.5
01/01/2023 12:03:35 AM,17.4,60.6,89.7,98.3
01/01/2023 12:03:36 AM,71.6,20.1,50.6,55.6
01/01/2023 12:03:37 AM,29.9,29.3,92.0,44.2
01/01/2023 12:03:38 AM,30.4,50.1,89.4,86.4
01/01/2023 12:03:39 AM,41.1,77.6,43.6,94.5
01/01/2023 12:03:40 AM,22.8,26.4,35.0,25.3
01/01/2023 12:03:41 AM,56.0,84.9,42.9,21.4
01/01/2023 12:03:42 AM,29.0,13.4,25.9,77.9
01/01/2023 12:03:43 AM,23.7,31.8,88.1,9.0
01/01/2023 12:03:44 AM,1.5,56.4,34.0,41.0
01/01/2023 12:03:45 AM,32.8,51.9,3.6,48.8
01/01/2023 12:03:46 AM,97.4,91.2,83.4,26.6
01/01/2023 12:03:47 AM,47.5,82.7,26.7,54.1
01/01/2023 12:03:48 AM,68.6,28.6,58.4,2.3
01/01/2023 12:03:49 AM,43.4,62.1,87.8,17.6
01/01/2023 12:03:50 AM,95.6,74.3,74.9,92.8
01/01/2023 12:03:51 AM,22.7,98.5,90.5,50.4
01/01/2023 12:03:52 AM,62.2,80.3,71.0,83.7
01/01/2023 12:03:53 AM,8.1,32.4,36.2,37.3
01/01/2023 12:03:54 AM,2.3,2.5,77.5,6.1
01/01/2023 12:03:55 AM,28.5,16.7,65.3,20.6
01/01/2023 12:03:56 AM,54.8,96.6,69.8,85.5
01/01/2023 12:03:57 AM,51.0,9.4,48.8,26.0
01/01/2023 12:03:58 AM,72.4,56.8,43.2,98.7
01/01/2023 12:03:59 AM,55.2,4.4,93.6,29.4
01/01/2023 12:04:00 AM,4.2,50.3,44.2,93.5
01/01/2023 12:04:01 AM,25.8,25.8,83.3,77.2
01/01/2023 12:04:02 AM,8.3,28.4,30.1,2.4
01/01/2023 12:04:03 AM,76.4,56.0,5.1,94.1
01/01/2023 12:04:04 AM,99.2,3.0,10.4,57.7
01/01/2023 12:04:05 AM,23.7,55.2,36.8,79.7
01/01/2023 12:04:06 AM,82.3,37.8,82.1,74.9
01/01/2023 12:04:07 AM,63.1,48.5,48.3,99.1
01/01/2023 12:04:08 AM,65.9,26.6,18.9,9.0
01/01/2023 12:04:09 AM,11.6,15.0,55.5,82.8
01/01/2023 12:04:10 AM,41.8,60.7,86.4,76.8
01/01/2023 12:04:11 AM,75.1,82.8,50.1,86.7
01/01/2023 12:04:12 AM,11.5,49.2,50.3,12.4
