DATE&TIME,LAFMAX,LAFMIN,LAE,LAEQ
01/01/2023 12:00:00 AM,26.1,66.8,22.8,13.9
01/01/2023 12:00:01 AM,29.4,31.9,57.9,70.7
01/01/2023 12:00:02 AM,48.5,57.9,30.6,53.2
01/01/2023 12:00:03 AM,81.0,49.5,87.5,54.9
01/01/2023 12:00:04 AM,86.2,53.3,81.2,42.7
01/01/2023 12:00:05 AM,47.2,8.8,86.7,46.0
01/01/2023 12:00:06 AM,60.2,44.5,52.2,39.3
01/01/2023 12:00:07 AM,23.6,73.5,43.5,81.2
01/01/2023 12:00:08 AM,4.3,53.3,59.1,32.2
01/01/2023 12:00:09 AM,72.2,54.7,36.0,18.8
01/01/2023 12:00:10 AM,11.5,51.8,49.8,60.3
01/01/2023 12:00:11 AM,41.0,3.5,11.7,42.6
01/01/2023 12:00:12 AM,40.7,39.3,78.2,14.8
01/01/2023 12:00:13 AM,90.9,58.6,61.9,32.4
01/01/2023 12:00:14 AM,94.8,22.7,54.2,88.0
01/01/2023 12:00:15 AM,54.5,3.2,5.4,38.3
01/01/2023 12:00:16 AM,88.9,51.0,41.0,28.6
01/01/2023 12:00:17 AM,96.1,11.9,78.5,31.1
01/01/2023 12:00:18 AM,58.3,31.6,35.2,27.8
01/01/2023 12:00:19 AM,41.4,75.6,41.8,90.8
01/01/2023 12:00:20 AM,84.6,96.0,43.2,38.0
01/01/2023 12:00:21 AM,84.4,34.3,32.8,38.5
01/01/2023 12:00:22 AM,3.8,77.3,59.8,29.1
01/01/2023 12:00:23 AM,64.5,76.3,38.6,35.6
01/01/2023 12:00:24 AM,81.0,55.1,94.3,6.2
01/01/2023 12:00:25 AM,54.9,54.1,25.2,93.5
01/01/2023 12:00:26 AM,87.1,29.6,69.6,23.8
01/01/2023 12:00:27 AM,95.6,23.3,49.3,16.1
01/01/2023 12:00:28 AM,78.2,40.7,52.1,66.3
01/01/2023 12:00:29 AM,62.7,68.2,67.7,5.2
01/01/2023 12:00:30 AM,86.2,9.8,78.7,36.1
01/01/2023 12:00:31 AM,71.7,33.2,13.5,79.5
01/01/2023 12:00:32 AM,24.4,3.1,65.5,60.8
01/01/2023 12:00:33 AM,75.7,12.3,32.5,14.8
01/01/2023 12:00:34 AM,23.3,30.4,90.4,13.3
01/01/2023 12:00:35 AM,36.2,87.1,87.8,55.0
01/01/2023 12:00:36 AM,73.9,9.4,70.8,97.0
01/01/2023 12:00:37 AM,41.4,90.0,14.5,10.6
01/01/2023 12:00:38 AM,50.7,5.6,30.0,58.1
01/01/2023 12:00:39 AM,45.8,55.1,21.8,22.3
01/01/2023 12:00:40 AM,8.0,1.8,35.3,46.1
01/01/2023 12:00:41 AM,10.0,71.9,10.0,47.9
01/01/2023 12:00:42 AM,22.7,71.9,45.4,42.6
01/01/2023 12:00:43 AM,56.2,22.5,82.3,11.8
01/01/2023 12:00:44 AM,80.4,77.7,98.1,93.6
01/01/2023 12:00:45 AM,82.6,73.0,14.4,59.7
01/01/2023 12:00:46 AM,18.3,1.8,18.1,77.9
01/01/2023 12:00:47 AM,8.4,29.0,3.1,44.6
01/01/2023 12:00:48 AM,91.2,16.0,15.1,61.9
01/01/2023 12:00:49 AM,58.4,21.5,94.9,88.0
01/01/2023 12:00:50 AM,35.0,62.5,9.1,83.1
01/01/2023 12:00:51 AM,62.7,86.3,10.1,5.6
01/01/2023 12:00:52 AM,48.8,18.0,95.0,64.4
